KIC,Evol_State,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
4852480,RGB,1.4808,0.0571,10.4046,0.1803,2.5757,0.0038,4664.6074,42.6689,0.0162,0.058,0.0191,0.022,-0.0502,0.032095156899652005,0.3253,0.036055453420986795,-0.3755,0.05048736074098855
4852709,RC,1.3392,0.0554,11.9934,0.2234,2.4097,0.0039,4534.944,40.1322,0.2617,0.058,0.0307,0.022,0.0726,0.025131113421425627,0.2195,0.028735925282891733,-0.1469,0.039923924982630685
4856867,RC,1.311,0.0541,11.6719,0.217,2.4241,0.004,4655.9644,42.2337,0.1335,0.058,0.0088,0.022,-0.0342,0.029067311909118793,0.2343,0.03307342343879992,-0.2685,0.04604991689846273
4857853,RC,1.0614,0.0414,10.938,0.1939,2.3888,0.0036,4523.478,40.0594,0.2321,0.058,0.0216,0.022,0.0871,0.028764527410065473,0.2321,0.03226014253456713,-0.14500000000000002,0.04520653529885589
4863289,RGB,1.4477,0.058,16.0524,0.2902,2.181,0.004,4417.178,43.0133,0.0618,0.058,0.0116,0.022,-0.0064,0.03512300189018521,0.2266,0.03822420249894089,-0.23299999999999998,0.054301476211367466
4863352,RGB,1.4925,0.0573,8.1085,0.1403,2.7958,0.0039,4783.6885,44.6467,-0.0027,0.058,0.0338,0.022,-0.0425,0.03482021739113189,0.2497,0.03903748340317367,-0.2922,0.054712660837451854
4901967,RC,1.1664,0.0479,10.375,0.1924,2.4756,0.0045,4879.4355,55.7806,-0.2342,0.058,0.0624,0.022,-0.0611,0.06509866729646396,0.1999,0.06696012778183262,-0.261,0.09770352051081133
4902442,RGB,1.2751,0.0531,5.0432,0.0941,3.1399,0.0046,4855.962,54.5481,0.0365,0.058,0.0194,0.022,-0.0699,0.05298728733433114,0.2307,0.056658569661550674,-0.3006,0.0811522767290669
4903283,RC,1.3057,0.0535,11.6378,0.2157,2.4249,0.0045,4924.8936,56.8309,-0.2978,0.058,0.1044,0.022,0.0144,0.07024600378037042,0.2367,0.07156871957248506,-0.2223,0.10491658448108439
4903839,RGB,1.2055,0.0498,13.2204,0.2439,2.2728,0.004,4447.8164,40.0356,-0.0273,0.058,0.048,0.022,-0.0184,0.02997566540627876,0.154,0.03334451707354418,-0.1724,0.04689831115136768
4904086,RC,1.1699,0.0481,10.7408,0.1994,2.4468,0.004,4773.5347,44.8615,-0.0708,0.058,0.0212,0.022,-0.0291,0.0363341398863985,0.1794,0.04039295157689498,-0.20850000000000002,0.05682742780279692
4904166,RGB,1.1164,0.0428,5.879,0.1016,2.949,0.0043,4887.8457,53.7514,-0.3072,0.058,0.0845,0.022,-0.0184,0.06388752930025068,0.1095,0.06587575324285558,-0.1279,0.09600662079866187
4904346,RC,1.1176,0.046,10.9817,0.2041,2.4077,0.004,4689.401,43.1394,0.0011,0.058,0.032,0.022,0.0201,0.032700725897758645,0.2059,0.03686873432521958,-0.1858,0.05154299058449855
4906950,RGB,1.4045,0.0542,9.5894,0.1663,2.6237,0.0038,4627.334,41.8967,0.1125,0.058,0.0103,0.022,-0.0265,0.029370096408172116,0.3568,0.03307342343879992,-0.38330000000000003,0.04626211085934704
4907194,RC,1.1357,0.0469,10.8967,0.2027,2.4215,0.004,4607.2,41.4893,0.1705,0.058,0.0132,0.022,0.013,0.03360907939491861,0.1889,0.0374109215947081,-0.1759,0.052601969384828993
4907665,RGB,1.4782,0.0557,5.1562,0.0879,3.1849,0.004,5085.2183,51.036,-0.3642,0.058,0.1037,0.022,-0.0141,0.05662070132297099,0.1594,0.05991169327848182,-0.1735,0.08623768296168345
4907772,RC,1.0082,0.0415,10.1948,0.1895,2.4276,0.004,4693.0425,43.1847,0.0701,0.058,0.0427,0.022,-0.0322,0.03663692438545182,0.1745,0.040664045211639244,-0.2067,0.0572504758410262
4907876,RC,1.2802,0.0526,10.9591,0.2034,2.4685,0.0045,4805.621,55.1742,-0.0555,0.058,0.0323,0.022,-0.079,0.056015132324864346,0.2219,0.05909841237424903,-0.3009,0.08518486722525309
4908025,RGB,1.323,0.0521,24.5367,0.4319,1.7593,0.0037,4133.5767,35.9898,0.1172,0.058,0.0335,0.022,-0.0046,0.024525544423318984,0.1015,0.026838269839681902,-0.1061,0.038030174858298
4908844,RGB,1.2926,0.0544,17.1672,0.3219,2.0696,0.0044,4439.156,46.6703,-0.1511,0.058,0.0661,0.022,-0.0247,0.043903752362731516,0.217,0.046628105176013,-0.2417,0.06699944869360275
4909561,RC,1.1887,0.049,10.988,0.2043,2.434,0.0043,4676.532,48.5971,0.1286,0.058,-0.0079,0.022,0.0002,0.04027033837409166,0.1999,0.04391716882857038,-0.1997,0.06232921239851779
4912124,RGB,1.1452,0.0434,7.9163,0.1354,2.7016,0.0046,4819.863,59.8537,-0.3757,0.058,0.1064,0.022,0.0941,0.08235738374250325,0.0399,0.08159918405802274,0.054200000000000005,0.121294150085799
4912918,RGB,1.1292,0.0434,6.1192,0.1059,2.9192,0.004,4759.8486,47.405,-0.0937,0.058,0.0561,0.022,0.0144,0.04208704536841159,0.142,0.04581482427178021,-0.1276,0.0650770888582097
4913771,RGB,1.2793,0.0492,8.6542,0.1499,2.6723,0.0044,4721.9375,53.8039,-0.1912,0.058,0.0462,0.022,-0.0331,0.058134623818237585,0.2075,0.060453880547970344,-0.24059999999999998,0.08774421240990833
4914234,RC,1.7295,0.0671,11.1335,0.1967,2.5854,0.0038,4780.705,44.5665,0.0724,0.058,-0.0097,0.022,-0.1589,0.032700725897758645,0.4024,0.037139827959963845,-0.5613,0.05175345287682559
