KIC,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
3440249,1.0803,0.0416,8.4365,0.1461,2.621,0.0044,4730.846,55.2022,-0.2265,0.058,0.0745,0.022,-0.0145,0.06297917580309072,0.2215,0.06479137870387854,-0.23600000000000002,0.09453096833684936
3441207,1.1801,0.0453,4.6715,0.0808,3.1728,0.0039,4829.3057,46.6452,0.0786,0.058,0.032,0.022,-0.037,0.03572857088829185,0.2461,0.04012185794215072,-0.2831,0.05619103076610508
3441948,1.1364,0.0475,9.4352,0.1763,2.5454,0.0047,4685.5083,55.1921,-0.1091,0.058,0.0641,0.022,-0.0125,0.05964854631350419,0.1877,0.06180934872169165,-0.20020000000000002,0.08986483689258448
3443483,1.5032,0.0569,6.1705,0.1055,3.0362,0.0038,4871.3955,45.9195,0.0448,0.058,-0.0021,0.022,-0.1344,0.03512300189018521,0.3166,0.03985076430740646,-0.45099999999999996,0.055555826333985786
3444029,1.4577,0.056,8.7471,0.1514,2.7197,0.0043,4771.115,53.2288,-0.0566,0.058,0.0454,0.022,-0.0622,0.05238171833622449,0.2474,0.05557419512257364,-0.3096,0.07989335476542148
3444374,1.1562,0.0447,8.4213,0.1461,2.6521,0.0038,4588.867,41.3226,0.0781,0.058,0.0333,0.022,0.003,0.029370096408172116,0.2003,0.03307342343879992,-0.1973,0.04626211085934704
3445822,1.1193,0.0469,11.0282,0.2063,2.4011,0.0042,4615.221,42.4409,-0.1457,0.058,0.0493,0.022,0.002,0.03512300189018521,0.1767,0.038766389768429416,-0.1747,0.054717415493631856
3449373,1.209,0.0505,11.2896,0.2109,2.4144,0.0043,4701.332,47.2554,-0.2582,0.058,0.0614,0.022,-0.0025,0.0466288128542114,0.1979,0.049610135158199876,-0.2004,0.07122465791354174
3449870,1.4757,0.0567,6.6972,0.1158,2.957,0.0039,4817.3506,45.0602,0.0101,0.058,0.0179,0.022,-0.037,0.03512300189018521,0.2254,0.03930857703791794,-0.26239999999999997,0.055135548713531185
3454626,1.2107,0.0467,5.8829,0.102,2.9837,0.0041,4641.315,48.7935,0.3218,0.058,0.0329,0.022,0.0801,0.03693970888450514,0.3225,0.040664045211639244,-0.2424,0.05746497782150596
3455784,1.5487,0.0646,7.0085,0.1308,2.9385,0.0043,4818.6826,46.9691,0.0822,0.058,0.0137,0.022,-0.1185,0.03754527788261178,0.2872,0.04201951338536055,-0.4057,0.05893800034894713
3456313,1.7968,0.0701,8.1562,0.1436,2.8713,0.0042,4892.541,52.3847,-0.0381,0.058,0.0438,0.022,-0.1102,0.050262226842851254,0.237,0.05394763331410807,-0.3472,0.07713305779814358
3458097,1.7061,0.0653,9.0747,0.1567,2.7561,0.004,4944.4307,48.5135,-0.3355,0.058,0.0489,0.022,-0.0826,0.049959442343797934,0.2351,0.053676539679363804,-0.3177,0.0767094226283672
3526061,1.2935,0.0497,5.8395,0.1011,3.0188,0.0038,4745.26,43.6298,0.1638,0.058,0.0155,0.022,-0.0385,0.032700725897758645,0.2814,0.03686873432521958,-0.31989999999999996,0.05154299058449855
3527032,1.366,0.0525,10.4007,0.18,2.5406,0.0039,4784.231,45.5422,-0.231,0.058,0.0664,0.022,-0.0778,0.04148147637030495,0.2214,0.04527263700229169,-0.2992,0.06423031144487144
3527891,1.3804,0.0533,12.3682,0.2146,2.3924,0.0038,4604.6807,42.1521,-0.0166,0.058,0.0186,0.022,-0.0444,0.031792372400598685,0.2263,0.035513266151498274,-0.2707,0.04985479454507435
3529276,1.5753,0.0605,9.5525,0.1652,2.6769,0.0039,4838.1304,46.5407,-0.216,0.058,0.042,0.022,-0.0965,0.04238982986746491,0.2018,0.04635701154126874,-0.2983,0.06570807512733458
3529399,1.081,0.0416,5.4568,0.0945,2.9997,0.0043,4697.4106,52.2008,0.0687,0.058,0.0449,0.022,-0.0222,0.0466288128542114,0.1763,0.0501523224276884,-0.1985,0.07163674817749462
3530942,1.3034,0.0501,8.8698,0.1535,2.659,0.0039,4770.296,45.0785,-0.1297,0.058,0.0677,0.022,-0.1156,0.03815084688071842,0.2798,0.042290607020104815,-0.3954,0.059574761226070284
3531436,1.3446,0.0514,5.0299,0.0868,3.1653,0.0043,5016.3867,55.0982,-0.3112,0.058,0.0846,0.022,-0.0161,0.06328196030214404,0.2529,0.06560465960811131,-0.269,0.09536156247439635
